"content_type_id","app_label","model","permission codename","Administration","All","Order","Account","Webmaster"
33,"cmsplugin_filer_file","filerfile","change_filerfile",,,,,"x"
33,"cmsplugin_filer_file","filerfile","delete_filerfile",,,,,"x"
34,"cmsplugin_filer_folder","filerfolder","add_filerfolder",,,,,"x"
34,"cmsplugin_filer_folder","filerfolder","change_filerfolder",,,,,"x"
34,"cmsplugin_filer_folder","filerfolder","delete_filerfolder",,,,,"x"
35,"cmsplugin_filer_image","filerimage","add_filerimage",,,,,"x"
35,"cmsplugin_filer_image","filerimage","change_filerimage",,,,,"x"
35,"cmsplugin_filer_image","filerimage","delete_filerimage",,,,,"x"
36,"cmsplugin_filer_image","thumbnailoption","add_thumbnailoption",,"x",,,
36,"cmsplugin_filer_image","thumbnailoption","change_thumbnailoption",,"x",,,
36,"cmsplugin_filer_image","thumbnailoption","delete_thumbnailoption",,"x",,,
37,"cmsplugin_filer_teaser","filerteaser","add_filerteaser",,,,,"x"
37,"cmsplugin_filer_teaser","filerteaser","change_filerteaser",,,,,"x"
37,"cmsplugin_filer_teaser","filerteaser","delete_filerteaser",,,,,"x"
38,"cmsplugin_filer_video","filervideo","add_filervideo",,,,,"x"
38,"cmsplugin_filer_video","filervideo","change_filervideo",,,,,"x"
38,"cmsplugin_filer_video","filervideo","delete_filervideo",,,,,"x"
5,"contenttypes","contenttype","add_contenttype",,,,,"x"
5,"contenttypes","contenttype","change_contenttype",,,,,"x"
5,"contenttypes","contenttype","delete_contenttype",,,,,"x"
7,"djangocms_text_ckeditor","text","add_text",,,,,"x"
7,"djangocms_text_ckeditor","text","change_text",,,,,"x"
7,"djangocms_text_ckeditor","text","delete_text",,,,,"x"
31,"easy_thumbnails","source","add_source",,,,,"x"
31,"easy_thumbnails","source","change_source",,,,,"x"
31,"easy_thumbnails","source","delete_source",,,,,"x"
32,"easy_thumbnails","thumbnail","add_thumbnail",,,,,"x"
32,"easy_thumbnails","thumbnail","change_thumbnail",,,,,"x"
32,"easy_thumbnails","thumbnail","delete_thumbnail",,,,,"x"
28,"filer","clipboard","add_clipboard",,"x",,,
28,"filer","clipboard","change_clipboard",,"x",,,
28,"filer","clipboard","delete_clipboard",,"x",,,
29,"filer","clipboarditem","add_clipboarditem",,"x",,,
29,"filer","clipboarditem","change_clipboarditem",,"x",,,
29,"filer","clipboarditem","delete_clipboarditem",,"x",,,
27,"filer","file","add_file","x",,"x",,"x"
27,"filer","file","change_file","x",,"x",,"x"
27,"filer","file","delete_file","x","x",,,"x"
25,"filer","folder","add_folder","x","x","x",,"x"
25,"filer","folder","can_use_directory_listing","x","x","x",,"x"
25,"filer","folder","change_folder","x","x","x",,"x"
25,"filer","folder","delete_folder","x","x",,,
26,"filer","folderpermission","add_folderpermission",,"x",,,
26,"filer","folderpermission","change_folderpermission",,"x",,,
26,"filer","folderpermission","delete_folderpermission",,"x",,,
30,"filer","image","add_image","x",,"x",,"x"
30,"filer","image","change_image","x",,"x",,"x"
30,"filer","image","delete_image","x","x",,,
23,"googlemap","googlemap","add_googlemap",,,,,"x"
23,"googlemap","googlemap","change_googlemap",,,,,"x"
23,"googlemap","googlemap","delete_googlemap",,,,,"x"
24,"link","link","add_link",,,,,"x"
24,"link","link","change_link",,,,,"x"
24,"link","link","delete_link",,,,,"x"
20,"menus","cachekey","add_cachekey",,"x",,,
20,"menus","cachekey","change_cachekey",,"x",,,
20,"menus","cachekey","delete_cachekey",,"x",,,
55,"repanier","bankaccount","add_bankaccount",,,,"x",
55,"repanier","bankaccount","change_bankaccount",,,,"x",
55,"repanier","bankaccount","delete_bankaccount",,,,"x",
47,"repanier","customer","add_customer","x",,,,
47,"repanier","customer","change_customer","x",,,,
47,"repanier","customer","delete_customer","x",,,,
42,"repanier","lut_departmentforcustomer","add_lut_departmentforcustomer","x",,,,
42,"repanier","lut_departmentforcustomer","change_lut_departmentforcustomer","x",,,,
42,"repanier","lut_departmentforcustomer","delete_lut_departmentforcustomer","x",,,,
43,"repanier","lut_departmentforproducer","add_lut_departmentforproducer","x",,,,
43,"repanier","lut_departmentforproducer","change_lut_departmentforproducer","x",,,,
43,"repanier","lut_departmentforproducer","delete_lut_departmentforproducer","x",,,,
44,"repanier","lut_permanencerole","add_lut_permanencerole","x",,,,
44,"repanier","lut_permanencerole","change_lut_permanencerole","x",,,,
44,"repanier","lut_permanencerole","delete_lut_permanencerole","x",,,,
41,"repanier","lut_productionmode","add_lut_productionmode","x",,,,
41,"repanier","lut_productionmode","change_lut_productionmode","x",,,,
41,"repanier","lut_productionmode","delete_lut_productionmode","x",,,,
53,"repanier","offeritem","add_offeritem",,,"x",,
53,"repanier","offeritem","change_offeritem",,,"x",,
53,"repanier","offeritem","delete_offeritem",,,"x",,
51,"repanier","permanence","add_permanence",,"x",,,
51,"repanier","permanence","add_permanencedone",,,,"x",
51,"repanier","permanence","add_permanenceinpreparation",,,"x",,
51,"repanier","permanence","change_permanence",,"x",,,
51,"repanier","permanence","change_permanencedone",,,,"x",
51,"repanier","permanence","change_permanenceinpreparation",,,"x",,
51,"repanier","permanence","delete_permanence",,"x",,,
51,"repanier","permanence","delete_permanencedone",,,,"x",
51,"repanier","permanence","delete_permanenceinpreparation",,,"x",,
52,"repanier","permanenceboard","add_permanenceboard",,,"x",,
52,"repanier","permanenceboard","change_permanenceboard",,,"x",,
52,"repanier","permanenceboard","delete_permanenceboard",,,"x",,
45,"repanier","producer","add_producer","x",,,,
45,"repanier","producer","change_producer","x",,,,
45,"repanier","producer","delete_producer","x",,,,
50,"repanier","product","add_product",,,"x",,
50,"repanier","product","add_productselected",,,"x",,
50,"repanier","product","change_product",,,"x",,
50,"repanier","product","change_productselected",,,"x",,
50,"repanier","product","delete_product",,,"x",,
50,"repanier","product","delete_productselected",,,"x",,
54,"repanier","purchase","add_purchase",,,,"x",
54,"repanier","purchase","change_purchase",,,"x","x",
54,"repanier","purchase","delete_purchase",,"x",,,
48,"repanier","sitecustomer","add_sitecustomer",,,"x",,
48,"repanier","sitecustomer","change_sitecustomer",,,"x",,
48,"repanier","sitecustomer","delete_sitecustomer",,,"x",,
46,"repanier","siteproducer","add_siteproducer",,,"x",,
46,"repanier","siteproducer","change_siteproducer",,,"x",,
46,"repanier","siteproducer","delete_siteproducer",,,"x",,
49,"repanier","staff","add_staff","x",,,,
49,"repanier","staff","change_staff","x",,,,
49,"repanier","staff","delete_staff","x",,,,
39,"reversion","revision","add_revision",,"x",,,
39,"reversion","revision","change_revision",,"x",,,
39,"reversion","revision","delete_revision",,"x",,,
40,"reversion","version","add_version",,"x",,,
40,"reversion","version","change_version",,"x",,,
40,"reversion","version","delete_version",,"x",,,
6,"sessions","session","add_session",,"x",,,
6,"sessions","session","change_session",,"x",,,
6,"sessions","session","delete_session",,"x",,,
1,"sites","site","add_site",,,,,
1,"sites","site","change_site",,,,,
1,"sites","site","delete_site",,,,,
21,"south","migrationhistory","add_migrationhistory",,"x",,,
21,"south","migrationhistory","change_migrationhistory",,"x",,,
21,"south","migrationhistory","delete_migrationhistory",,"x",,,
